Product Name,Slug,Primary Category,All Categories,Gender,Collection,Occasion,Material,Collection Route,Detected Problems
Minimal Cube Crystal Silver Chain Necklace,minimal-cube-crystal-silver-chain-necklace,Everyday (everyday),Everyday; Necklaces; Office; Party,Unisex,—,Casual,Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Minimal Silver Oval Link Chain Necklace,minimal-silver-oval-link-chain-necklace,Everyday (everyday),Everyday; Men's Necklace; Office; Party,Men,—,"Casual, Everyday",Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Minimal Stripe Pattern Stud Earrings,minimal-stripe-pattern-stud-earrings,Earrings (earrings),Earrings; Everyday; Office; Rings,Women,—,"Casual, Everyday","Silver, Sterling Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Modern Silver Bar Link Chain Necklace,modern-silver-bar-link-chain-necklace,Everyday (everyday),Everyday; Men's Necklace; Office; Party,Men,—,"Casual, Everyday",Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Modern Silver Link Chain Necklace,modern-silver-link-chain-necklace,Everyday (everyday),Everyday; Men's Necklace,Men,—,"Casual, Everyday",Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Oxidised Payal,oxidised-payal,Everyday (everyday),Everyday; Rings,"Men, Women",—,"Everyday, Festive, Wedding",Silver,/collections/everyday,"Missing collection (pa_collection attribute empty store-wide) | Name suggests ""Anklet"" but product is not in any of: anklets"
Oxidized Silver Herringbone Chain,oxidized-silver-herringbone-chain,All Products (all-products),All Products; MEN'S,—,—,—,—,/collections/mens,"Missing gender | Missing collection (pa_collection attribute empty store-wide) | Missing occasion | Missing material | Name suggests ""Necklace"" but product is not in any of: necklaces, mens-necklace"
Premium Silver Mesh Chain Necklace,premium-silver-mesh-chain-necklace,Everyday (everyday),Everyday; Men's Necklace; Office; Party,Men,—,Everyday,Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Pure Silver Strip Chain,pure-silver-strip-chain,All Products (all-products),All Products; MEN'S,—,—,—,—,/collections/mens,"Missing gender | Missing collection (pa_collection attribute empty store-wide) | Missing occasion | Missing material | Name suggests ""Necklace"" but product is not in any of: necklaces, mens-necklace"
Rose gold Blue stone Necklace,rose-gold-blue-stone-necklace,Everyday (everyday),Everyday; Necklaces; Office; Party,Men,—,Everyday,Rose Gold,/collections/everyday,"Men's-only product inside general ""necklaces"" (not also in ""mens-necklace"") | Missing collection (pa_collection attribute empty store-wide)"
Rose Gold Butterfly Crystal Bracelet,rose-gold-butterfly-crystal-bracelet,Bracelets (bracelets),Bracelets; Everyday; Party,"Men, Women",—,Party,"Rose Gold, Silver, Sterling Silver",/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Rose Gold Butterfly Lariat Necklace,rose-gold-butterfly-lariat-necklace,Everyday (everyday),Everyday; Necklaces; Office; Party,"Men, Women",—,"Casual, Everyday",Rose Gold,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Rose Gold Crystal Bracelet,rose-gold-crystal-bracelet,All Products (all-products),All Products,—,—,—,—,— (none),"Missing gender | Missing collection (pa_collection attribute empty store-wide) | Missing occasion | Missing material | No assigned category maps to a live /collections/* route (product is undiscoverable via browsing) | Name suggests ""Bracelet"" but product is not in any of: bracelets, mens-bracelet"
Rose Gold Crystal Necklace,rose-gold-crystal-necklace,Everyday (everyday),Everyday; Men's Necklace; Office,Men,—,"Casual, Everyday",Rose Gold,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Rose Gold Heart Minimal Stud Earrings,rose-gold-heart-minimal-stud-earrings,Earrings (earrings),Earrings; Everyday; Office; Rings,Women,—,"Casual, Everyday","Rose Gold, Silver, Sterling Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Rose Gold T-Bar Stud Earrings,rose-gold-t-bar-stud-earrings,Everyday (everyday),Everyday; Men's Ring; Office; Party,Men,—,Casual,Rose Gold,/collections/everyday,"Missing collection (pa_collection attribute empty store-wide) | Name suggests ""Earrings"" but product is not in any of: earrings"
Rose gold Viper Bracelet,rose-gold-viper-bracelet,Bracelets (bracelets),Bracelets,Men,—,Everyday,Rose Gold,/collections/bracelets,"Men's-only product inside general ""bracelets"" (not also in ""mens-bracelet"") | Missing collection (pa_collection attribute empty store-wide)"
Rose Night Earrings,rose-night-earrings,Earrings (earrings),Earrings; Everyday; Rings,Women,—,Everyday,Rose Gold,/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Roselle Bloom Rose Gold Plated Sterling Silver Mangalsutra,roselle-bloom-rose-gold-plated-sterling-silver-mangalsutra,Everyday (everyday),Everyday; Necklaces; Office; Party,"Men, Women",—,"Everyday, Festive, Wedding","925, Gold Plated, Rose Gold, Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Royal Tiger Designer Open Bracelet,royal-tiger-designer-open-bracelet,Bracelets (bracelets),Bracelets; Everyday; Party,"Men, Women",—,Party,"Silver, Sterling Silver",/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Ruby Royale Sterling Silver Mangalsutra,ruby-royale-sterling-silver-mangalsutra,Everyday (everyday),Everyday; Necklaces; Office; Party,"Men, Women",—,"Everyday, Festive, Wedding","925, Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Rudraksha Mala,rudraksha-mala,All Products (all-products),All Products; MEN'S,—,—,—,—,/collections/mens,Missing gender | Missing collection (pa_collection attribute empty store-wide) | Missing occasion | Missing material
Silver & Gold Accent Cross Chain,silver-gold-accent-cross-chain,Everyday (everyday),Everyday; Men's Necklace; Office; Party,"Men, Unisex",—,Everyday,Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver Black Enamel Stacking Ring,silver-black-enamel-stacking-ring,Everyday (everyday),Everyday; Men's Ring; Office; Party,Men,—,Casual,Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver Bracelet,silver-bracelet,Bracelets (bracelets),Bracelets,"Men, Women",—,"Everyday, Festive",Silver,/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Silver bubble ring,silver-bubble-ring,Everyday (everyday),Everyday; Men's Ring; Office; Party,Men,—,"Festive, Party",Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver chain necklace with a heart pendant and pearls,silver-chain-necklace-with-a-heart-pendant-and-pearls,Everyday (everyday),Everyday; Men's Necklace; Office; Party,Men,—,Everyday Wear,"Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver Cross Ring,silver-cross-ring,Everyday (everyday),Everyday; Men's Ring; Office; Party,Men,—,"Casual, Everyday","Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver Crown Ring,silver-crown-ring,Everyday (everyday),Everyday; Office; Party; Rings,Men,—,Everyday,"Silver, Sterling Silver",/collections/everyday,"Men's-only product inside general ""rings"" (not also in ""mens-ring"") | Missing collection (pa_collection attribute empty store-wide)"
Silver Cubic Zirconia Heart Stud Earrings Set,silver-cubic-zirconia-heart-stud-earrings-set,Earrings (earrings),Earrings; Everyday; Office; Rings,Women,—,Everyday,"Rose Gold, Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Silver Double Layer chain necklace,silver-double-layer-chain-necklace,Everyday (everyday),Everyday; Men's Necklace; Party,Men,—,Party,"Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver Glamira bracelet,silver-glamira-bracelet,Bracelets (bracelets),Bracelets,"Men, Women",—,"Casual, Everyday",Silver,/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Silver half Eternity Ring,silver-half-eternity-ring,Everyday (everyday),Everyday; Men's Ring; Party,Men,—,"Casual, Everyday","Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver heart pendant necklace,silver-heart-pendant-necklace,Everyday (everyday),Everyday; Necklaces; Office,Women,—,Casual,"Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver LOVE Charms Necklace,silver-love-charms-necklace,Everyday (everyday),Everyday; Men's Necklace; Office,Men,—,Casual,"Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver Necklace with multiple Heart-shaped charms,silver-necklace-with-multiple-heart-shaped-charms,Everyday (everyday),Everyday; Men's Necklace; Party,Men,—,Everyday Wear,"Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver wave Ring,silver-wave-ring,Everyday (everyday),Everyday; Men's Ring; Office,Men,—,"Casual, Everyday","Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Silver Wing Earrings,silver-wing-earrings,Everyday (everyday),Everyday; Men's Ring; Office; Party,Men,—,"Casual, Everyday, Party","Silver, Sterling Silver",/collections/everyday,"Missing collection (pa_collection attribute empty store-wide) | Name suggests ""Earrings"" but product is not in any of: earrings"
Silver-Plated Choker Style Necklace Set,silver-plated-choker-style-necklace-set,All Products (all-products),All Products,"Men, Women",—,"Festive, Wedding",Silver,— (none),"Missing collection (pa_collection attribute empty store-wide) | No assigned category maps to a live /collections/* route (product is undiscoverable via browsing) | Name suggests ""Necklace"" but product is not in any of: necklaces, mens-necklace"
Silver-toned cubic zirconia-studded ear cuff Earrings,silver-toned-cubic-zirconia-studded-ear-cuff-earrings,Everyday (everyday),Everyday; Necklaces; Office,Women,—,"Casual, Everyday",Silver,/collections/everyday,"Missing collection (pa_collection attribute empty store-wide) | Name suggests ""Earrings"" but product is not in any of: earrings"
Snake chain Anklet,snake-chain-anklet,Anklets (anklets),Anklets,"Men, Women",—,"Casual, Everyday, Festive","Rose Gold, Silver",/collections/anklets,Missing collection (pa_collection attribute empty store-wide)
Solitaire Ring,solitaire-ring,Everyday (everyday),Everyday; Men's Ring; Office,Men,—,"Everyday, Wedding",925 Sterling Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Solitaire Ring with Accent Stones,solitaire-ring-with-accent-stones-2,Everyday (everyday),Everyday; Men's Ring; Office,Men,—,"Everyday, Wedding",925 Sterling Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Solitaire Ring with Accent Stones,solitaire-ring-with-accent-stones,Everyday (everyday),Everyday; Men's Ring; Office,Men,—,"Everyday, Wedding",925 Sterling Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Starlisse Solitaire Sterling Silver Mangalsutra,starlisse-solitaire-sterling-silver-mangalsutra,Everyday (everyday),Everyday; Necklaces; Office,"Men, Women",—,"Casual, Everyday, Festive, Wedding","925, Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Sterling Silver Crystals Necklace,sterling-silver-crystals-necklace,Everyday (everyday),Everyday; Men's Necklace; Office; Party,Men,—,Everyday,"Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Sterling Silver Emerald Green Motif Anklet,sterling-silver-emerald-green-motif-anklet,Anklets (anklets),Anklets,"Men, Women",—,"Casual, Everyday, Festive","Silver, Sterling Silver",/collections/anklets,Missing collection (pa_collection attribute empty store-wide)
Sterling Silver Heart and Key Necklace,sterling-silver-heart-and-key-necklace,Everyday (everyday),Everyday; Necklaces,Men,—,Everyday Wear,"Silver, Sterling Silver",/collections/everyday,"Men's-only product inside general ""necklaces"" (not also in ""mens-necklace"") | Missing collection (pa_collection attribute empty store-wide)"
Sterling Silver Rose Gold Double Chain Necklace for women,sterling-silver-rose-gold-double-chain-necklace-for-women,Everyday (everyday),Everyday; Necklaces,"Men, Women",—,Casual,"Rose Gold, Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Sterling Silver Stone Inlay Twist Frame Moreen Stud Post Earrings,sterling-silver-stone-inlay-twist-frame-moreen-stud-post-earrings,Earrings (earrings),Earrings; Everyday; Party; Rings,"Men, Women",—,"Casual, Everyday, Party","Silver, Sterling Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Stone Studded Bracelet,stone-studded-bracelet,Bracelets (bracelets),Bracelets,"Men, Women",—,"Everyday, Festive, Party, Wedding",Silver,/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Traditional Floral Stone Kada Bracelet,traditional-floral-stone-kada-bracelet,Bracelets (bracelets),Bracelets; Festive; Party,"Men, Women",—,"Festive, Party, Wedding","Silver, Sterling Silver",/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Vintage Floral Oxidised Stud Earrings,vintage-floral-oxidised-stud-earrings-2,Earrings (earrings),Earrings; Everyday; Rings,Women,—,"Casual, Everyday, Festive","Silver, Sterling Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Vintage Floral Oxidised Stud Earrings,vintage-floral-oxidised-stud-earrings,Earrings (earrings),Earrings; Everyday; Rings,Women,—,"Casual, Everyday, Festive","Silver, Sterling Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Vintage Oxidised Spiral Stud Earrings,vintage-oxidised-spiral-stud-earrings,Earrings (earrings),Earrings; Everyday; Rings,Women,—,"Casual, Everyday, Festive","Silver, Sterling Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Vintage Platinum Cubic Zirconia Bracelet,vintage-platinum-cubic-zirconia-bracelet,Bracelets (bracelets),Bracelets,"Men, Women",—,"Festive, Wedding",925 Sterling Silver,/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
White Halo Princess Cut Black Stone Stud Earrings,white-halo-princess-cut-black-stone-stud-earrings,Everyday (everyday),Everyday; Necklaces; Office; Party,"Men, Women",—,"Everyday, Party","Silver, Sterling Silver",/collections/everyday,"Missing collection (pa_collection attribute empty store-wide) | Name suggests ""Earrings"" but product is not in any of: earrings"
women's Sterling Silver Pandora Bracelet,women-s-sterling-silver-pandora-bracelet,Anklets (anklets),Anklets,"Men, Women",—,"Casual, Festive","Rose Gold, Silver, Sterling Silver",/collections/anklets,"Missing collection (pa_collection attribute empty store-wide) | Name suggests ""Bracelet"" but product is not in any of: bracelets, mens-bracelet"
zirconia silver Necklace Set,zirconia-silver-necklace-set,Men's Necklace (mens-necklace),Men's Necklace,Men,—,"Festive, Wedding",Silver,/collections/mens-necklace,Missing collection (pa_collection attribute empty store-wide)
